urlDrugName,rating,effectiveness,sideEffects,benefitsReview,sideEffectsReview,commentsReview,word_count,stopwords,numerics
prozac,2,Ineffective,No Side Effects,None,none,"Took for several months, told my doctor it was NOT making a difference so she doubled the dose to 40 mg. I couldn't stand the thought of putting more chemicals in my body if they weren't doing anything so I never filled the doubled prescription and focused on counseling, which made a difference.",1,0,0
citalopram,7,Considerably Effective,Moderate Side Effects,I feel better about myself and less anxious and depressed.,less anxious depressed,I take it once a day at 20mg per pill. I do better on it now then I do without it. So I will keep my fingers crossd and hope the sleepness goes away.,10,4,0
prozac,9,Considerably Effective,Mild Side Effects,"Before taking Prozac I had no energy or joy - I could barely lift my head off the pillow in the morning. I just wanted to stay in bed. When I first started taking it, I could feel it physically - I felt a little ""giddy"" and my eyes felt/looked glazed. But over time, those feelings went away and I just felt normal. I no longer felt like I was on a drug - I just felt good. I could get up in the morning and looked forward to each day.",taking prozac energy joy could barely lift head pillow morning wanted stay bed first started taking could physically little giddy eyes feltlooked glazed time feelings went away normal longer like drug good could get morning looked forward day,I began by taking 5mg tablets one time a day for one week. The next week I increased to 10mg tablets on time/day. I took Prozac for one year. When I stopped taking it I reduced the dosage to 5mg tablets one time a day for about 2 weeks. I did not have any ill effects when I quit taking it.,91,30,0
effexor,6,Highly Effective,Mild Side Effects,depression reduced - I had taken it at a lower dosage at first - but his had no effect - at all - so psychiatrist had to prescribe a higher dosage than the family doctors are allowed...the effect was amazing - I suddenly felt a 100% better after  a week or so - I had been on the lower dosage for months with no effect.,reduced taken lower dosage first effect psychiatrist prescribe higher dosage family doctors allowedthe effect amazing suddenly 100 week lower dosage months effect,"I was prescribed increasing doses by my family doctor until he had reached the maximum (150) he could prescribe. I tried to commit suicide, I was referred to a psychiatrist who doubled the dose. After seeing the psychiatrist twice over 2 months. I did not have to see her again. And my family doctor could continue to prescribe at this higher dose.",66,31,0
effexor,9,Highly Effective,Mild Side Effects,"Signifigantly reduced depression, social anxiety. Mild side effects.",signifigantly reduced social anxiety mild side effects,"I've been on Effexor for about 7 years, and love it. It doesn't make you sleepy or passive. It doesn't kill your sex drive, though it is reduced a bit, and it's still harder to reach orgasm. Best part about this med is that it doesn't make you sleepy or foggy. 

You may have to increase dosage after a couple of years. It started to poop out on me at about year 3, and since then I've been climbing with the dosage. 

I've tried many anti-depressants, and this is the gold standard for me. Paxil robbed me of many years...no ambition, no focus, very sloppy housekeeping. Effexor is much better.",8,0,0
cymbalta,4,Moderately Effective,Moderate Side Effects,"The benifit of taking the drug was to decrease the symptoms of depression and anxiety. In addition, the drug did not suppress the libido on the opposite it increase the sexual desire.",benifit taking drug decrease symptoms anxiety addition drug suppress libido opposite increase sexual desire,"The treatment consisted of taking 30mg every morning for thirty days.  Also, started an exercise program to increase the endorphins levels in the brain.  The doctor suggested fifteen minutes of sunshine a day. After the thirty days period the follow up consisted of answering questions about the positive and negative  effects of the drug. After reviewing the answers it was determined that I needed to be on a higher dosage because the symptoms of depression were still an issue.  The increase in dosage was from 30mg to 60mg and still at the end of thirty days there was mo change in the symptoms.  Finally I had to switch to another medication which so far it has worked fine.",32,15,0
prozac,9,Highly Effective,Moderate Side Effects,Reduced depression and feelings of hopelessness within 3 weeks. I like being able to increase dosage when things get a little rough and then back off to the original dosage when things settle down.,reduced feelings hopelessness within 3 weeks like increase dosage things get little rough back original dosage things settle,"Took pill once a day and visited therapist once a month.  After awile, I didn't go to the therapist anymore and I was extremely even with just the medication.",34,12,1
zoloft,8,Considerably Effective,No Side Effects,"Became less emotional and therefore able to function better in everyday settings,especially as I experienced no side-effects.",became less emotional therefore function everyday settingsespecially experienced sideeffects,"200 mg once a day for seven years so far has worked very well,and will continue to take this medication at this dosage for at least another year,maybe more.",17,5,0
sarafem,10,Highly Effective,Mild Side Effects,"I have taken this drug off and on for the past 13 years. I have always had good results with it, but I wanted to go off it to have children. Then, after my last child, I tried to make it without medication, but I realized I couldn't. I am very careful about the medications I take and I don't like being stuck on anything. However, I realized that I needed help and my children needed a happy Mommy. I went back on Prozac (the generic form) 2 months ago and now feel better than I have in years. I can cope with the daily stresses of life without losing my temper, or my mind. I can face the responsibilities of each day without fear, hopelessness, or doubt. I can laugh and enjoy my children. I am truly a new person. I am regretting not going back on this medication sooner.",taken drug past 13 years always good results wanted go children last child tried make without medication realized couldnt careful medications take dont like stuck anything however realized needed help children needed happy mommy went back prozac generic form 2 months ago years cope daily stresses life without losing temper mind face responsibilities day without fear hopelessness doubt laugh enjoy children truly new person regretting going back medication sooner,"I am planning on seeing my doctor every 6 months and have my blood checked once a year to check my liver, etc., but so far am doing great. I do see a counselor every 2 weeks, which is invaluable to me.",151,60,2
sarafem,8,Highly Effective,Mild Side Effects,"This drug improved my mood greatly. I can take more stress at work, in my romantic life, and family situations where as before, I would crawl under a rock and cry. A lot of people say that they don't feel much on this drug, but I think it was low enough to where I could have moderate lows and elevated highs. It helped me control my impulsive behavior with eating.",drug improved mood greatly take stress work romantic life family situations would crawl rock cry lot people say dont much drug think low enough could moderate lows elevated highs helped control impulsive behavior eating,"I took this at noon. It's a strange feeling on this drug because later in the day, I feel a bit strange. Either way, I know what people mean when they say that they feel a lot of indifference come over them at times they should be feeling overwhelming emotions. This drug helps me cope and sometimes I feel like I don't need it anymore, but I go right back on it when I feel the blues creeping up on me again.",70,28,0
effexor-xr,7,Considerably Effective,Severe Side Effects,"Made a huge difference in my depression (post natal) at first. Had tried Zoloft after my previous pregnancy, which seemed to stop working. Cycled through a number of other drugs (8 within 9 months) and ended up sticking with EffexorXR as it seemed the one with the least side-effects initially.",made huge difference post natal first tried zoloft previous pregnancy seemed stop working cycled number drugs 8 within 9 months ended sticking effexorxr seemed one least sideeffects initially,Post-natal depression & major depression/anxiety.,50,20,1
effexor-xr,8,Considerably Effective,Moderate Side Effects,"Helped ease depressed mood, less mood swings. Better overall sense of well being. I was not as emotional and life felt more managable. I didnt even notice its effects while on it. I have tried other antidepressants that made me feel disconnected and my mind was cloudy, also experienced weight gain. Effexor did not make me feel like I was on anything, it just worked in the background. I only noticed it effects once I quit, my emotions were stronger and all my senses seemed intensified.",helped ease depressed mood less mood swings overall sense well emotional life managable didnt even notice effects tried antidepressants made disconnected mind cloudy also experienced weight gain effexor make like anything worked background noticed effects quit emotions stronger senses seemed intensified,"Took 75 mgs once daily for about three months, then wheened myself of it. Very difficult to do, had withdrawels that included nausua, crying, dizzyness, brain felt like it was short circuiting in a way. I had to lay in bed when I didnt take it for 2 days.",86,33,0
wellbutrin-xl,9,Highly Effective,Moderate Side Effects,Remarkable improvement in productivity (no down time) and feeling of well-being.,remarkable improvement productivity time feeling wellbeing,"Treatment started at 150 mg, which showed some improvement
At 300 mg the improvement showed more dramatic results
Before treatment: periods of deep depression, confusion, feeling of helplessness, unability to go to work.
After treatment: remarkably fewer periods of light depression, able to work.",11,4,0
effexor,1,Ineffective,Extremely Severe Side Effects,There were absolutely NO treatment benefits. I felt worse while on this drug than before I started taking it.,absolutely treatment benefits worse drug started taking,"I was supposed to start at this dose and then go up to a higher dose after a few weeks. I completely took myself off of this drug since it was not helping me and there was no way I was going to increase my dosage. My doctor never even followed up with me after prescribing this medication...tsk, tsk!!",19,6,0
prozac,7,Considerably Effective,No Side Effects,Within the first eight months I did not notice any benefits and decided to stop the treatments. Once off the Prozac my depression was worsen made me realise that the treatment was working but that I had not realised this.I restarted my treatment shortly after and felt much better. Although I felt better I realised that Prozac by itself was not the answer and I had to address other areas in my life.,within first eight months notice benefits decided stop treatments prozac worsen made realise treatment working realised thisi restarted treatment shortly much although realised prozac answer address areas life,Within the first eight months I did not notice any benefits and decided to stop the treatments. Once off the Prozac my depression was worsen made me realise that the treatment was working but that I had not realised this.I restarted my treatment shortly after and felt much better. Although I felt better I realised that Prozac by itself was not the answer and I had to address other areas in my life.,73,34,0
effexor,8,Considerably Effective,Mild Side Effects,"The effexor worked the first day I took it.  For some time previously, I had felt ""paralyzed,"" or too depressed to get much done.  The day I began taking it, I noticed a difference in that I felt more able to get out of the house, and able to cope with the difficulties of mothering 6 children full-time. As I said, it worked the first day, but continued to work better and better over the next 3 weeks until I worked up to my eventual dose (I started at 37 mg. and worked my way up to 300 mg.).",effexor worked first day took time previously paralyzed depressed get much done day began taking noticed difference get house cope difficulties mothering 6 children fulltime said worked first day continued work next 3 weeks worked eventual dose started 37 mg worked way 300 mg,"I'm not clear on what is wanted in this section.  I will do my best, and if you wish to email me with a request for specific info, I will be happy to help.  I was seeing a psychiatrist 9 years ago who thought Effexor was worth a try.  I had been on Prozac a few yrs previous, and although it worked really well, after taking it for two years I developed the side effect of experiencing arthritic pain in my hands.  That was the reason I discontinued the use of Prozac. After being off the Prozac or any other meds for a year or two, I could feel myself sliding back into the black hole of depression and severe anxiety.  I found a doctor (psychiatrist)and he put me on Effexor.  It was a miracle.  I was soooo happy to find something that worked so well, and on the first try. (Several years before, I had gone through what my family refers to as the ""year of hell,"" when I first began the journey of searching for an anti-depressant that would work AND not have side effects that kept me from functioning normally.) My treatment consisted of: Taking the 300 mg of effexor, and monthly visits to my psychiatrist to determine how well my effexor was working and to discuss other treatment options. Although I could notice a marked difference in my mood, I still felt that I wasn't nearly as healthy mentally as I needed to be.  I would still have days when I felt ""paralyzed"" and very anxious.  When I discussed the problem with my psych., he suggested that I add Luvox, another anti-depressant, to my regimen.  That helped as well, although there were two unpleasant side effects: 1) loss of sex drive and difficulty achieving orgasm, and 2) night sweats.  My doc prescribed 1 mg of hytrin for the night sweats; it worked, and he recommended 60 mg. ginko biloba daily for the loss of sex drive.  It may have helped a little, but I was never quite sure. One other thing I found beneficial for my anxiety was 10 mg. dexadrine.  It seemed contradictory to me that a stimulant would calm me down, but the very first day I took it, I felt calm for the first time in my life. Up until then I didn't realize how severe my anxiety was, because I had never known what it was like to be without it. But that very first day I took it, I felt a calmness come over me that was such a relief.  Always before, I had a feeling inside that I can only explain as the feeling one would get if one was late for an important meeting with one's boss.  Sort of like, ""I'm late! Gotta hurry! oh, no!""  That was a feeling that I had always had, and it had nothing to do with what my situation was-- late or early, it made no difference.  For the first two weeks I took the Dexadrine, I didn't pull my hair (trichotillomania)at all, nor did I even realize I wasn't pulling, as I didn't even think about it.  Unfortunately, I did go back to pulling after that. The 2 side effects I experienced with the dex. is that 1) it made me drowsy for about the first hour after I took it, and 2) it made me feel like I lost my spontaneity.  I got a lot more done, and I didn't feel so panicked, but I wasn't as much fun.  For that reason, I stopped taking it regularly and took it maybe only half of the time.  After maybe a year or two I quit taking it altogether and when I went back on it last year after having been off of it for about 5 years, it no longer worked as it had before.  It made me feel jittery as though I'd had way too much coffee.  It just made the anxiety worse.

I'm not sure if I was supposed to tell about more than one medication for this survey. However, these four meds I've mentioned were all sort of intertwined, so it seemed appropriate for me to do so. I have taken a myriad of other anti-depressants in my quest to find one that would work, and I would be willing to share my experiences with those other meds as well. Just let me know if you want mori info.",101,35,4
effexor-xr,3,Marginally Effective,Severe Side Effects,some decreased depression but not as well as with wellbutrin,decreased well wellbutrin,had to stop the mediccine and go back to taking wellbutrin 300mg xl.  the side effect of going off of the effexor included a lot of dizziness,10,6,0
citalopram,10,Highly Effective,Mild Side Effects,"I no longer felt depressed. I felt back to ""my old self"" and able to function normally in everyday activities.",longer depressed back old self function normally everyday activities,I took one pill every morning.,20,5,0
effexor-xr,7,Moderately Effective,Mild Side Effects,I made a good recovery from a moderate depressive illness and I believe that maintenance therapy has prevented me from relapsing especially when i have been under additional stress .I only have to take it once per day. I have only had one increase in dosage from 75mg to 150 mg,made good recovery moderate depressive illness believe maintenance therapy prevented relapsing especially additional stress take per day one increase dosage 75mg 150 mg,"I was clinically depressed about 8 years ago ,under alot of work based stress and looking after a young famiy,Eventually saw my GP who prescribed Venlafaxine &%mg which worked well. Some time later my mood dipped..I cant recall the details and the dose was increased . I have been unable to come off it . I tried Fluoxetine at one point but this was not nearly as eefective . I am waiting till I retire to withdraw because I cant afford to take time off work ..not financially,just becaue of my commitments",51,24,1
wellbutrin,8,Considerably Effective,Mild Side Effects,"The drug worked on reducing/eliminating my situational feelings of depression.  Initially, it increased my energy and focus, and stopped the feelings of sadness.  It did not make me feel like a ""zombie"" and I felt connected to my emotions and the people around me, which I had heard was a side effect of other anti-depressants.",drug worked reducingeliminating situational feelings initially increased energy focus stopped feelings sadness make like zombie connected emotions people around heard side effect antidepressants,"I started on 150 mg for 2 weeks on the brand name drug once a day.  It seemed like as soon as I was switched to the generic 300mg, the energy and focus benefits stopped.  There is no way to know if it was the switch to generic or just my body getting used to the drug, but it was dissapointing.  I really enjoyed the energy.  I weaned myself off after 1 year because I didn't need it anymore.  I did not have any significant withdrawal symptoms.  Overall it was a positive experience, although I was glad to not need it anymore.",57,24,0
lexapro,5,Moderately Effective,Severe Side Effects,Helped reduce some of the anxiety and had a moderate effect on the depression although it did not go away.,helped reduce anxiety moderate effect although go away,Taken orally daily at night to address depresion. Stopped taking due to side effects. Found increase of regimented daily exercise to be more beneficial.,20,11,0
effexor,7,Moderately Effective,Moderate Side Effects,"I guess they helped me through a really challenging time in my life where i was not coping, and wanted to die. i was severely depressed, and needed to have meds to help me stay focussed",helped really challenging time life coping wanted die severely depressed needed meds help stay focussed,"councelling, effexor. i saw a psychiatrist at first weekly, then bi weekly, then monthly. i had other supoport from other proffesionals",36,19,0
wellbutrin-sr,9,Highly Effective,Mild Side Effects,"When I started taking this medication I was first put on 150mgs twice a day. After about 6 months felt that it was not really working. After Dr upped dosage to 450 mgs per day i have never felt better. Use to be extremely emotional, weepy, and just did not want to get out of bed. It has helped with my symptoms from the fibromyalgia, and my anxiety. It has also helped me drop weight which is a bonus too.",started taking medication first put 150mgs twice day 6 months really working dr upped dosage 450 mgs per day never use extremely emotional weepy want get bed helped symptoms fibromyalgia anxiety also helped drop weight bonus,"Suffering from depression, fibromyalgia, and anxiety taking this medication has helped stablize my moods, which helps with my flare ups from the fibromyalgia. My depression has also gotten so much better. i have suffered from depression since I gave birth to my daughter in 1992.",80,33,2
celexa,8,Highly Effective,Moderate Side Effects,I had fewer swings in my mood. I felt down less often. My anxiety level was much lower.,fewer swings mood less often anxiety level much lower,"I was prescribed this medication by a doctor. While I was taking it, I had counselling sessions for behavioral therapy. This combination of treatments worked  well for me, and now I don't have to take the medication and only require counselling sessions occasionally.",18,5,0
zoloft,9,Highly Effective,No Side Effects,"When the antidepressant finally kicked in (after about two weeks), I finally felt ""normal.""  It made me realize how down I was.  I've heard other people say the same thing about feeling ""normal.""  I would still get down but it wouldn't last for days.  I could get through it like a healthy-minded person.  It was such a relief from what I had been feeling.  I told myself that I would take it forever if I had to......anything to not feel what I had been feeling for years:  depressed that I'm not good enough.",antidepressant finally kicked two weeks finally normal made realize ive heard people say thing feeling normal would still get wouldnt last days could get like healthyminded person relief feeling told would take forever toanything feeling years depressed im good enough,"When I try again to cut back on the dose, I think I'll go to a psychiatrist while doing it.  Regular physicians who refill my prescription don't know me and don't know how to offer advice about doing this.

My treatment details....I take it every day.
Sometimes I've forgotten a day or have run out of a prescription and didn't get it refilled for a few days.  I got a bit light headed.  Definitely not something you can quit cold turkey.",100,38,0
lamictal,7,Moderately Effective,Mild Side Effects,"I've been on meds for depression/anxiety for over 20 years and have tried many medications and combinations. Nothing has ever effectively controlled my depression but Lamictal seems to have stabilized my condition at a tolerable level. I am more mentally ""resilient"".....I don't stay down too long; I'm able to bounce back quickly from a depressive state. I'm also taking Mirtazapine (30mg; 2 a day). Maybe it's the combination that helps. I was recently taking Pristiq and Mirtazapine and was terribly depressed. I quit taking the Pristiq and began Lamictal and had and a very quick improvement.",ive meds depressionanxiety 20 years tried many medications combinations nothing ever effectively controlled lamictal seems stabilized condition tolerable level mentally resilienti dont stay long im bounce back quickly depressive state im also taking mirtazapine 30mg 2 day maybe combination helps recently taking pristiq mirtazapine terribly depressed quit taking pristiq began lamictal quick improvement,I take one 150MG tablet each morning.,96,39,2
lexapro,9,Highly Effective,Mild Side Effects,"I'm  taking better care of myself and my appearance. I'm interacting with people and don't feel so detached from others. I'm starting to look forward to things again after feeling numb for so long.
Minimal side effects and only lasted a few days. I couldn't tolerate any other anti-D's that I tried because of side effects.",im taking care appearance im people dont detached others im starting look forward things feeling numb long minimal side effects lasted days couldnt tolerate antids tried side effects,"I was skeptical that depression even existed so delayed my psych's advice in taking it for a year.
 Got to the point I felt so bad I admitted I had a problem and began a small dose of 1/4 tablet once a day. 
That's all I need for now too. I feel completely different from how I did 3 months ago - I have a personality again! The low days aren't so low and don't paralyze me anymore.
My appetite is normal again after having none for months. The only weight I put on is what I lost and that's because I'm feeling better and have my appetite back. Still underweight but I'm on the way to being healthy again.
I feel more alive and positive. I don't feel so withdrawn, guilty and ashamed for no reason. It's not a miracle pill and you have to do the work to get there but Lexapro is helping me to 'get there'. I'll take it for as long as I need to. Find a good Dr and PLEASE listen to them and take it if you need to. Don't live in misery because of the stigma society sometimes puts on mental health issues. Screw society and put your mental health first!",56,25,0
paxil,9,Considerably Effective,No Side Effects,it alleviated my severe depression related to an extended period of high stress events in my life.  The depression was debilitating.,alleviated severe related extended period high stress events life debilitating,once daily oral administration,22,8,0
lamictal,2,Moderately Effective,Severe Side Effects,"While on the drug, I experienced some level of mood stabilization, marked by a greater ability to 'flow with' daily stress.",drug experienced level mood stabilization marked greater ability flow daily stress,"I am, under the direction of my doctor, reducing dosage in 25 mg increments and taking several vitamin/mineral combinations, including copper, zinc, biotin, and selenium.  But there is no assurance that my hair loss will ever reverse itself -- in fact, it may continue.",21,7,0
desyrel,7,Considerably Effective,Moderate Side Effects,decrease in depression and suicidal thoughts. Gives more energy to be productive in life. Feel more positive and less inclined to take naps during the day to escape from depression.,decrease suicidal thoughts gives energy productive life positive less inclined take naps day escape,"just an everyday for the rest of my life treatment. It is very hard for me to get off the drug and take a break, I immediately feel terrible and then can't sleep.",30,13,0
wellbutrin-xl,8,Considerably Effective,Mild Side Effects,"I had been on many different treatments for depression throughout most of my adult life and the side effects seamed to outweigh the benefits.  Since starting to take wellbutrin my sex drive returned, my ambition and motivation returned.  On my last medication I was going to sleep at 8 p.m and sleeping until morning then requiring a nap in the afternoon and now I sleep 7-8 hrs a night and have enough energy to get through most of my days.  I had a 5 lb weight loss in the beginning that I have maintained.  Over all I feel I am managing my depression better than I have at any time in the past.",many different treatments throughout adult life side effects seamed outweigh benefits since starting take wellbutrin sex drive returned ambition motivation returned last medication going sleep 8 pm sleeping morning requiring nap afternoon sleep 78 hrs night enough energy get days 5 lb weight loss beginning maintained managing time past,I went up to 450mg once a day but cut back to 300mg a day about 6-8 mnths ago and didn't find I was less able to cope with my depression. I do find that I feel depressed more often but I recognize the signs of the depression and use coping stragies to deal with what is happening.,117,50,2
wellbutrin,7,Moderately Effective,Mild Side Effects,"I experienced less depression, increased libido plus the added benefit of decreased desire for cigarettes.",experienced less increased libido plus added benefit decreased desire cigarettes,"Prescribed at 300 mg per day, have taken as much 450 mg per day. I like this drug because it has few side effects.",15,3,0
paxil,10,Highly Effective,Mild Side Effects,"The patient's was able to see positive effects in 2 weeks time.  She noted an improvement in mood, spouse noted a reduction in symptoms relating to prementrual syndrome, and a return of normal sleep patterns.  Overall return of positive mood and enjoyment of previous activities.",patients see positive effects 2 weeks time noted improvement mood spouse noted reduction symptoms relating prementrual syndrome return normal sleep patterns overall return positive mood enjoyment previous activities,"Treatment was easy to administer, being only once a day, and could be altered easily (am or pm).  There were no cardiovascular side effects, no dizziness, blurred vision, or nausea associated with treatment with 10 mg. paroxetine.  The mild side effects such as reduced craving for carbohydrates and feeling full earlier during a meal were not considered problematic.  The patient's clinical signs of depression, which were insomnia, and reduced enjoyment of former hobbies were reversed within a short period of time (2-3 weeks).",47,14,1
wellbutrin-xl,10,Considerably Effective,Mild Side Effects,The drug caused the depression to recede to the point that I was able to function normally. The libido lowering effects of a prior antidepressent (SSRI) were alleviated completely. I was able to lose excess weight gained during treatment with the other SSRI,drug caused recede point function normally libido lowering effects prior antidepressent ssri alleviated completely lose excess weight gained treatment ssri,I took one tablet per day 300 mg of the Wellbutrin XL.,43,16,0
symbyax,2,Ineffective,Severe Side Effects,"none, side effects that were intolerable were an increase in appetite and decreased libido",none side effects intolerable increase appetite decreased libido,one pill daily at bedtime,14,6,0
celexa,1,Ineffective,Severe Side Effects,"I really did not see any benefit in taking the medication.  However, this may have been because I was unable to tolerate it for any length of time.",really see benefit taking medication however may unable tolerate length time,"I was placed ont this medication to help with lack of energy, inability to sleep, loss of appetite (depression symptoms).  The side effects were so severe that I was only able to take the medicine for a week.",29,15,0
citalopram,8,Considerably Effective,Mild Side Effects,"I found that this drug immediately released alot of emotion - which was suprising.  I wept for about a week - I had no idea what was going on at first, and then I realized that - I could actually FEEL my emotions.  I felt normal and healthy.  I regret going off of this drug too soon, as I did.  I switched to Wellbutrin, which was not a good idea.",found drug immediately released alot emotion suprising wept week idea going first realized could actually emotions normal healthy regret going drug soon switched wellbutrin good idea,over the counter.,74,29,0
citalopram,10,Highly Effective,Mild Side Effects,"less tired, more optimistic, more energy, no more depression",less tired optimistic energy,"I started taking Citalopram 2 yrs. ago for mild depression.  I started at a 20 mg pill once daily. I notice approx. 1 yr. later I was still SLIGHTLY depressed, so my Dr. prescribed I move up to 30 mg. I felt great.  In the fall, I noticed 'blue'. (S.A.D.  ?) So my Dr. again prescribed that I move up to 40 mg throughout the winter months to see if that helps with seasonal affective disorder, & that I can start to ween myself back down to 30mg shortly before spring. The only side effect I've noticed so far, has been some mild sweating durting the night that started when I started taking the 40mg. Other than that, I have loved the way I feel since I've been taking Citalopram.    So far so good.",9,4,0
paxil,1,Moderately Effective,Mild Side Effects,The drug did help with the temporary depression.,drug help temporary,Depression treated.  The mitral value prolapse was not treated but noted when any medical or dental treatment was performed.,8,3,0
prozac,10,Highly Effective,Mild Side Effects,"My mood swings decreased, I was less irritable.  When I would be blue, I would not go into a deeper depression.  It just evened me out.  I also had a head injury and it seemed to help in the recovery from that.",mood swings decreased less irritable would blue would go deeper evened also head injury seemed help recovery,I had one on one counseling with a therapist.  I have taken 20 mg everyday for the past 12 years.  I have tried other medications but they have not worked nearly as well for me.,45,15,0
wellbutrin-sr,9,Highly Effective,Mild Side Effects,"After battling w/moderate depression for many years, this drug is a miracle for me! It stopped the ""hampster wheel in my head"" anxiety I had, I feel mush calmer, I can focus on what is important, and I no longer have such emotional hypersensitivity that I used to. It helps me feel like the ""me"" that I had lost for a long time, but i have never had a ""medicated"" feeling from it,as i did with other antidepressants i previously tried.",battling wmoderate many years drug miracle stopped hampster wheel head anxiety mush calmer focus important longer emotional hypersensitivity used helps like lost long time never feeling itas antidepressants previously tried,Currently using for moderate depression 150mg 2 times a day.,81,34,0
effexor,7,Moderately Effective,Mild Side Effects,"helped the depression initially, was far more positive during the years I took it, but the efficacy of the drug began to deteriate, and the onset of new side effects led me to try to live without the treatment",helped initially far positive years took efficacy drug began deteriate onset new side effects led try live without treatment,"I now feel that I have suffered fibromyalgia for a long time, and part of the reason I was depressd was I found it hard to deal with the pain i was feeling at the time, I had two very young children , and was not diagnosed with a condition . If I had understood my condition better, I may have managed the fibromyalgia better. I was pushing my body too hard, as I felt frustrated t not managing everything better, and the cycle of depression continued. I have come off the venlafaxine, and the symptoms of pain, particularly in the morning have returned, but I can manage them better, knowing it is not symptomatic of a seriously damaging condition, and that it is 'normal' for me. I pace myself better, and no longer have the demands of very young children , so can do that easier. I like being 'drug' free, although I do supplement with fish oils and 5 HTP",39,17,0
paxil,2,Ineffective,Severe Side Effects,No treatment benefits,treatment benefits,For depression take 20mg once a day. Will now come off and try another. Didn't work for me.,3,0,0
cymbalta,7,Considerably Effective,Mild Side Effects,I was in a better mood. Less crying and less over thinking.,mood less crying less thinking,I take 60 mg of Cymbalta in the evening on a daily basis.,12,5,0
cymbalta,8,Highly Effective,Moderate Side Effects,"Stabilized moods. Made me feel like ""me"".  Allowed me to work much more effectively. Increased focus. Completely stopped crying jags (would get so down I'd cry over very little).",stabilized moods made like allowed work much effectively increased focus completely stopped crying jags would get id cry little,daily dose.  Very consistent use.,30,8,0
prozac,10,Highly Effective,No Side Effects,"I have taken this drug off and on for 20 years. It is so effective for my depression that I start feeling like I'm ""cured"" and don't need to take it any more. I have found that when I stop taking it, I'll be fine for a few days or weeks, and then I start feeling symptoms of depression again. For the last 3 years, I have taken it regularly and am not planning on stopping. It doesn't make me feel happy every day, because that's not its purpose, however it does keep me from entering a depressive state.",taken drug 20 years effective start feeling like im cured dont need take found stop taking ill fine days weeks start feeling symptoms last 3 years taken regularly planning stopping doesnt make happy every day thats purpose however keep entering depressive state,"I take 20 mg every morning with my vitamins. For 2 years I took 40 mg every other day, however I haven't felt the need to do this anymore.",99,44,2
prozac,10,Highly Effective,Mild Side Effects,"this anti-depressant has basically saved my life.  i have suffered with severe depression and anxiety since childhood.  whether these problems were caused by 'nature or nurture' can be difficult to ascertain, but in my particular case, i believe it was both.  while i was a victim of severe sexual, physical and verbal abuse from a very young age through my teen years, i also seem to have been born with an unusually 'sensitive' disposition, and can get very emotionally and mentally disturbed at times with very little provocation.  everyone who knows me well considers me a very emotional person.  at any rate, it has been the prozac that has helped me in dealing with the stresses of even everyday life.  i first started feeling suicidal in adolescence, and unfortunately, this is still a constant problem.  the prozac, i am convinced, has helped me keep these feelings in check, and although i was just hospitalized for my depression late last year, i am still alive and kicking.  i completely believe that it is the prozac that has saved my life.  before the advent of these types of antidepressants, all that was available were the tricyclics.  those never worked for me the way the ssri's have.  although they did achieve in putting me into a stupor-like condition, they never seemed to alleviate my depression.  the prozac does.  while it doesn't rid me of the problem completely, it has been absolutely invaluable to me, and i believe it is the main reason i am alive to write these words to you today.  i am fortunate in that i have never had a single side effect from the prozac.  actually, there has been a complete loss of libido, which could be a major problem for alot of people;  for me, however, this is not a problem, because i am celibate, and have been for 20 years.  trust me, i had enough sex in my younger years to last me for the rest of my life.  i feel i should mention that i have known many people who take prozac and who have not had any sexual problems at all.",antidepressant basically saved life suffered severe anxiety since childhood whether problems caused nature nurture difficult ascertain particular case believe victim severe sexual physical verbal abuse young age teen years also seem born unusually sensitive disposition get emotionally mentally disturbed times little provocation everyone knows well considers emotional person rate prozac helped dealing stresses even everyday life first started feeling suicidal adolescence unfortunately still constant problem prozac convinced helped keep feelings check although hospitalized late last year still alive kicking completely believe prozac saved life advent types antidepressants available tricyclics never worked way ssris although achieve putting stuporlike condition never seemed alleviate prozac doesnt rid problem completely absolutely invaluable believe main reason alive write words today fortunate never single side effect prozac actually complete loss libido could major problem alot people however problem celibate 20 years trust enough sex younger years last rest life mention known many people take prozac sexual problems,"basically you need to see a psychiatrist as often as your condition requires.  i also recommend concurrent visits with some type of therapist or counselor, as this will increase the benefits you receive by taking the medication.",373,194,1
wellbutrin,10,Highly Effective,No Side Effects,"freedom from depression, in addition, a greater interest in  sex",freedom addition greater interest sex,I took 150mg daily,11,4,0
wellbutrin,1,Ineffective,Extremely Severe Side Effects,I didn't feel that there were any benefits. I initially started taking Wellbutrin because it was tauted as having little to no sexual side effects. I really was highly disappointed in the overall experience of this drug. I immediately switched back to Effexor.,didnt benefits initially started taking wellbutrin tauted little sexual side effects really highly disappointed overall experience drug immediately switched back effexor,"I am not certain what I should describe here. The treatment details were that I was prescribed a medication after having asked for it due to its advertised benefits and I never have been so disappointed in a medicine until this one. I am not certain if other people have had similar experiences or not, but it wasn't pleasant.",43,18,0
