urlDrugName,rating,effectiveness,sideEffects,benefitsReview,sideEffectsReview,commentsReview
prozac,2,Ineffective,No Side Effects,None,None,"Took for several months, told my doctor it was NOT making a difference so she doubled the dose to 40 mg. I couldn't stand the thought of putting more chemicals in my body if they weren't doing anything so I never filled the doubled prescription and focused on counseling, which made a difference."
citalopram,7,Considerably Effective,Moderate Side Effects,I feel better about myself and less anxious and depressed.,I have taken it for almost two weeks now and I feel really tired and increased yawning. I have taken it during the day and at night which in the morning  I feel tired still.,I take it once a day at 20mg per pill. I do better on it now then I do without it. So I will keep my fingers crossd and hope the sleepness goes away.
prozac,9,Considerably Effective,Mild Side Effects,"Before taking Prozac I had no energy or joy - I could barely lift my head off the pillow in the morning. I just wanted to stay in bed. When I first started taking it, I could feel it physically - I felt a little ""giddy"" and my eyes felt/looked glazed. But over time, those feelings went away and I just felt normal. I no longer felt like I was on a drug - I just felt good. I could get up in the morning and looked forward to each day.","I had very vivid dreams/nightmares the entire time I took it. Eight years later, I can still remember many of them and the way they made me feel. I gained weight (from 115lbs to 130lbs).",I began by taking 5mg tablets one time a day for one week. The next week I increased to 10mg tablets on time/day. I took Prozac for one year. When I stopped taking it I reduced the dosage to 5mg tablets one time a day for about 2 weeks. I did not have any ill effects when I quit taking it.
effexor,6,Highly Effective,Mild Side Effects,depression reduced - I had taken it at a lower dosage at first - but his had no effect - at all - so psychiatrist had to prescribe a higher dosage than the family doctors are allowed...the effect was amazing - I suddenly felt a 100% better after  a week or so - I had been on the lower dosage for months with no effect.,"I felt nauseous. Gradually I became acclimatised the effects- so after the initial boost I felt normal again - like I could engage with life. After a while (6-months) I felt like I was experiencing a distance because of the drugs, instead of feeling engaged in life like I had felt initially, I felt like I was veiled from it.","I was prescribed increasing doses by my family doctor until he had reached the maximum (150) he could prescribe. I tried to commit suicide, I was referred to a psychiatrist who doubled the dose. After seeing the psychiatrist twice over 2 months. I did not have to see her again. And my family doctor could continue to prescribe at this higher dose."
effexor,9,Highly Effective,Mild Side Effects,"Signifigantly reduced depression, social anxiety. Mild side effects.","Forgetfullness, some manifestation of laissez-faire attitude (not caring as much about work issues, but in some ways this is a good thing! As long as you don't end up slacking off too much), harder to reach orgasm (but much better than Paxil or Prozac in this matter).","I've been on Effexor for about 7 years, and love it. It doesn't make you sleepy or passive. It doesn't kill your sex drive, though it is reduced a bit, and it's still harder to reach orgasm. Best part about this med is that it doesn't make you sleepy or foggy. 

You may have to increase dosage after a couple of years. It started to poop out on me at about year 3, and since then I've been climbing with the dosage. 

I've tried many anti-depressants, and this is the gold standard for me. Paxil robbed me of many years...no ambition, no focus, very sloppy housekeeping. Effexor is much better."
cymbalta,4,Moderately Effective,Moderate Side Effects,"The benifit of taking the drug was to decrease the symptoms of depression and anxiety. In addition, the drug did not suppress the libido on the opposite it increase the sexual desire.",Side effects were many.  THEre was a decrease in energy levels and dizzines.  There was weight gain. At the end of the 30 days period the feelings of depression were still an issue,"The treatment consisted of taking 30mg every morning for thirty days.  Also, started an exercise program to increase the endorphins levels in the brain.  The doctor suggested fifteen minutes of sunshine a day. After the thirty days period the follow up consisted of answering questions about the positive and negative  effects of the drug. After reviewing the answers it was determined that I needed to be on a higher dosage because the symptoms of depression were still an issue.  The increase in dosage was from 30mg to 60mg and still at the end of thirty days there was mo change in the symptoms.  Finally I had to switch to another medication which so far it has worked fine."
prozac,9,Highly Effective,Moderate Side Effects,Reduced depression and feelings of hopelessness within 3 weeks. I like being able to increase dosage when things get a little rough and then back off to the original dosage when things settle down.,"Extreme sleepiness, feeling ""out of it"".  It was really hard to work and be on this medication.  I wanted to give it up as I literally could not stay awake but I made it though the first 6 weeks and things were better after that.  I have been on it for 10 years now and do not notice any side effects.","Took pill once a day and visited therapist once a month.  After awile, I didn't go to the therapist anymore and I was extremely even with just the medication."
zoloft,8,Considerably Effective,No Side Effects,"Became less emotional and therefore able to function better in everyday settings,especially as I experienced no side-effects.",none,"200 mg once a day for seven years so far has worked very well,and will continue to take this medication at this dosage for at least another year,maybe more."
sarafem,10,Highly Effective,Mild Side Effects,"I have taken this drug off and on for the past 13 years. I have always had good results with it, but I wanted to go off it to have children. Then, after my last child, I tried to make it without medication, but I realized I couldn't. I am very careful about the medications I take and I don't like being stuck on anything. However, I realized that I needed help and my children needed a happy Mommy. I went back on Prozac (the generic form) 2 months ago and now feel better than I have in years. I can cope with the daily stresses of life without losing my temper, or my mind. I can face the responsibilities of each day without fear, hopelessness, or doubt. I can laugh and enjoy my children. I am truly a new person. I am regretting not going back on this medication sooner.","Honestly, the only side effect I have had is that it is harder to have an orgasm. I can still have them, but it just takes longer. I don't really feel ""in the mood"" as much, but that is a very small detriment compared to what I was experiencing before. I have had no other side effects whatsoever. I do not even feel ""mediciney"" or out of it at all and no stomach problems, either.","I am planning on seeing my doctor every 6 months and have my blood checked once a year to check my liver, etc., but so far am doing great. I do see a counselor every 2 weeks, which is invaluable to me."
sarafem,8,Highly Effective,Mild Side Effects,"This drug improved my mood greatly. I can take more stress at work, in my romantic life, and family situations where as before, I would crawl under a rock and cry. A lot of people say that they don't feel much on this drug, but I think it was low enough to where I could have moderate lows and elevated highs. It helped me control my impulsive behavior with eating.","I had headaches if I didn't take it with enough food in my stomach. I also have insomnia, however, if you cut your intake of caffeine, it shouldn't be too severe.","I took this at noon. It's a strange feeling on this drug because later in the day, I feel a bit strange. Either way, I know what people mean when they say that they feel a lot of indifference come over them at times they should be feeling overwhelming emotions. This drug helps me cope and sometimes I feel like I don't need it anymore, but I go right back on it when I feel the blues creeping up on me again."
effexor-xr,7,Considerably Effective,Severe Side Effects,"Made a huge difference in my depression (post natal) at first. Had tried Zoloft after my previous pregnancy, which seemed to stop working. Cycled through a number of other drugs (8 within 9 months) and ended up sticking with EffexorXR as it seemed the one with the least side-effects initially.","Weight gain, difficulty losing weight, blurry vision, general 'blah' moods. 
Attempted to taper off & managed to only go from 225 to 150mg for a week before MAJOR side effects kicked in: headaches, brain 'zaps', aggression, agitation, extreme mood swings and hives. Returned to 225mg (for a month now) and still experiencing severe hives & developing allergies to a number of things I wasn't allergic to before.",Post-natal depression & major depression/anxiety.
effexor-xr,8,Considerably Effective,Moderate Side Effects,"Helped ease depressed mood, less mood swings. Better overall sense of well being. I was not as emotional and life felt more managable. I didnt even notice its effects while on it. I have tried other antidepressants that made me feel disconnected and my mind was cloudy, also experienced weight gain. Effexor did not make me feel like I was on anything, it just worked in the background. I only noticed it effects once I quit, my emotions were stronger and all my senses seemed intensified.","Bad withdrawels upon quiting medication. Sexual side effects, My senses seemed dulled.","Took 75 mgs once daily for about three months, then wheened myself of it. Very difficult to do, had withdrawels that included nausua, crying, dizzyness, brain felt like it was short circuiting in a way. I had to lay in bed when I didnt take it for 2 days."
wellbutrin-xl,9,Highly Effective,Moderate Side Effects,Remarkable improvement in productivity (no down time) and feeling of well-being.,"Constipation, sleeplessness","Treatment started at 150 mg, which showed some improvement
At 300 mg the improvement showed more dramatic results
Before treatment: periods of deep depression, confusion, feeling of helplessness, unability to go to work.
After treatment: remarkably fewer periods of light depression, able to work."
effexor,1,Ineffective,Extremely Severe Side Effects,There were absolutely NO treatment benefits. I felt worse while on this drug than before I started taking it.,"I felt like I had consumed 12,000 cups of coffee. I was anxious, nervous, jittery and irritable. I could not sit still.","I was supposed to start at this dose and then go up to a higher dose after a few weeks. I completely took myself off of this drug since it was not helping me and there was no way I was going to increase my dosage. My doctor never even followed up with me after prescribing this medication...tsk, tsk!!"
prozac,7,Considerably Effective,No Side Effects,Within the first eight months I did not notice any benefits and decided to stop the treatments. Once off the Prozac my depression was worsen made me realise that the treatment was working but that I had not realised this.I restarted my treatment shortly after and felt much better. Although I felt better I realised that Prozac by itself was not the answer and I had to address other areas in my life.,There was no negative side effects.,Within the first eight months I did not notice any benefits and decided to stop the treatments. Once off the Prozac my depression was worsen made me realise that the treatment was working but that I had not realised this.I restarted my treatment shortly after and felt much better. Although I felt better I realised that Prozac by itself was not the answer and I had to address other areas in my life.
effexor,8,Considerably Effective,Mild Side Effects,"The effexor worked the first day I took it.  For some time previously, I had felt ""paralyzed,"" or too depressed to get much done.  The day I began taking it, I noticed a difference in that I felt more able to get out of the house, and able to cope with the difficulties of mothering 6 children full-time. As I said, it worked the first day, but continued to work better and better over the next 3 weeks until I worked up to my eventual dose (I started at 37 mg. and worked my way up to 300 mg.).","The only side effect I noticed was that if, for some reason, I forgot to take the effexor in the morning, by the evening I felt sort of dizzy in a really weird way.","I'm not clear on what is wanted in this section.  I will do my best, and if you wish to email me with a request for specific info, I will be happy to help.  I was seeing a psychiatrist 9 years ago who thought Effexor was worth a try.  I had been on Prozac a few yrs previous, and although it worked really well, after taking it for two years I developed the side effect of experiencing arthritic pain in my hands.  That was the reason I discontinued the use of Prozac. After being off the Prozac or any other meds for a year or two, I could feel myself sliding back into the black hole of depression and severe anxiety.  I found a doctor (psychiatrist)and he put me on Effexor.  It was a miracle.  I was soooo happy to find something that worked so well, and on the first try. (Several years before, I had gone through what my family refers to as the ""year of hell,"" when I first began the journey of searching for an anti-depressant that would work AND not have side effects that kept me from functioning normally.) My treatment consisted of: Taking the 300 mg of effexor, and monthly visits to my psychiatrist to determine how well my effexor was working and to discuss other treatment options. Although I could notice a marked difference in my mood, I still felt that I wasn't nearly as healthy mentally as I needed to be.  I would still have days when I felt ""paralyzed"" and very anxious.  When I discussed the problem with my psych., he suggested that I add Luvox, another anti-depressant, to my regimen.  That helped as well, although there were two unpleasant side effects: 1) loss of sex drive and difficulty achieving orgasm, and 2) night sweats.  My doc prescribed 1 mg of hytrin for the night sweats; it worked, and he recommended 60 mg. ginko biloba daily for the loss of sex drive.  It may have helped a little, but I was never quite sure. One other thing I found beneficial for my anxiety was 10 mg. dexadrine.  It seemed contradictory to me that a stimulant would calm me down, but the very first day I took it, I felt calm for the first time in my life. Up until then I didn't realize how severe my anxiety was, because I had never known what it was like to be without it. But that very first day I took it, I felt a calmness come over me that was such a relief.  Always before, I had a feeling inside that I can only explain as the feeling one would get if one was late for an important meeting with one's boss.  Sort of like, ""I'm late! Gotta hurry! oh, no!""  That was a feeling that I had always had, and it had nothing to do with what my situation was-- late or early, it made no difference.  For the first two weeks I took the Dexadrine, I didn't pull my hair (trichotillomania)at all, nor did I even realize I wasn't pulling, as I didn't even think about it.  Unfortunately, I did go back to pulling after that. The 2 side effects I experienced with the dex. is that 1) it made me drowsy for about the first hour after I took it, and 2) it made me feel like I lost my spontaneity.  I got a lot more done, and I didn't feel so panicked, but I wasn't as much fun.  For that reason, I stopped taking it regularly and took it maybe only half of the time.  After maybe a year or two I quit taking it altogether and when I went back on it last year after having been off of it for about 5 years, it no longer worked as it had before.  It made me feel jittery as though I'd had way too much coffee.  It just made the anxiety worse.

I'm not sure if I was supposed to tell about more than one medication for this survey. However, these four meds I've mentioned were all sort of intertwined, so it seemed appropriate for me to do so. I have taken a myriad of other anti-depressants in my quest to find one that would work, and I would be willing to share my experiences with those other meds as well. Just let me know if you want mori info."
effexor-xr,3,Marginally Effective,Severe Side Effects,some decreased depression but not as well as with wellbutrin,"constipation, dizziness and elevated bp",had to stop the mediccine and go back to taking wellbutrin 300mg xl.  the side effect of going off of the effexor included a lot of dizziness
citalopram,10,Highly Effective,Mild Side Effects,"I no longer felt depressed. I felt back to ""my old self"" and able to function normally in everyday activities.",When I first began taking this medication I had urgent need to urinate throughout day and night. This effect went away after about a month of taking the medication.,I took one pill every morning.
effexor-xr,7,Moderately Effective,Mild Side Effects,I made a good recovery from a moderate depressive illness and I believe that maintenance therapy has prevented me from relapsing especially when i have been under additional stress .I only have to take it once per day. I have only had one increase in dosage from 75mg to 150 mg,"Myoclonic jerks,paricularly when i am relaxed. I get these more often at night whilst in bed . Dry mouth .Sweating ,especially at night . Initially an occasional tachycardia . The worst side effect is withdrawal symptoms ,even if I miss one dose. These are 'headiness' like flu,nausea ,a really odd feeling . It goes after taking my normal dose within about 3 to 4 hours","I was clinically depressed about 8 years ago ,under alot of work based stress and looking after a young famiy,Eventually saw my GP who prescribed Venlafaxine &%mg which worked well. Some time later my mood dipped..I cant recall the details and the dose was increased . I have been unable to come off it . I tried Fluoxetine at one point but this was not nearly as eefective . I am waiting till I retire to withdraw because I cant afford to take time off work ..not financially,just becaue of my commitments"
wellbutrin,8,Considerably Effective,Mild Side Effects,"The drug worked on reducing/eliminating my situational feelings of depression.  Initially, it increased my energy and focus, and stopped the feelings of sadness.  It did not make me feel like a ""zombie"" and I felt connected to my emotions and the people around me, which I had heard was a side effect of other anti-depressants.","At first I had crazy dreams, whch wasn't so bad.  I did not have any trouble falling asleep.  I had very high energy for the first 2 weeks, then it tapered off back to normal.  I wish the energy had remained.  I did not lose any weight, which I was hoping for...but I did not gain any either, so that was positive.","I started on 150 mg for 2 weeks on the brand name drug once a day.  It seemed like as soon as I was switched to the generic 300mg, the energy and focus benefits stopped.  There is no way to know if it was the switch to generic or just my body getting used to the drug, but it was dissapointing.  I really enjoyed the energy.  I weaned myself off after 1 year because I didn't need it anymore.  I did not have any significant withdrawal symptoms.  Overall it was a positive experience, although I was glad to not need it anymore."
lexapro,5,Moderately Effective,Severe Side Effects,Helped reduce some of the anxiety and had a moderate effect on the depression although it did not go away.,Insomnia and fatigue were the main side effects experienced.,Taken orally daily at night to address depresion. Stopped taking due to side effects. Found increase of regimented daily exercise to be more beneficial.
effexor,7,Moderately Effective,Moderate Side Effects,"I guess they helped me through a really challenging time in my life where i was not coping, and wanted to die. i was severely depressed, and needed to have meds to help me stay focussed","nausea, tiredness. When i first started, i was very nauseous. if i forgot a dose, i got severe headaches","councelling, effexor. i saw a psychiatrist at first weekly, then bi weekly, then monthly. i had other supoport from other proffesionals"
wellbutrin-sr,9,Highly Effective,Mild Side Effects,"When I started taking this medication I was first put on 150mgs twice a day. After about 6 months felt that it was not really working. After Dr upped dosage to 450 mgs per day i have never felt better. Use to be extremely emotional, weepy, and just did not want to get out of bed. It has helped with my symptoms from the fibromyalgia, and my anxiety. It has also helped me drop weight which is a bonus too.","I am normally the queen of side effects and the only one that I ended up with was not being able to taste what I eat. It effected me within 2 months of taking it, and its gotten better but there are still some foods that i just cant enjoy because i cant taste it.","Suffering from depression, fibromyalgia, and anxiety taking this medication has helped stablize my moods, which helps with my flare ups from the fibromyalgia. My depression has also gotten so much better. i have suffered from depression since I gave birth to my daughter in 1992."
celexa,8,Highly Effective,Moderate Side Effects,I had fewer swings in my mood. I felt down less often. My anxiety level was much lower.,"I felt sleepy all the time. I was not alert at times, which interfered with my work. When I started to withdraw from the medication based on the discussion with my doctor, I had severe withdrawal symptoms for about a week, including headache, upset stomach, sweating, and lost concentration.","I was prescribed this medication by a doctor. While I was taking it, I had counselling sessions for behavioral therapy. This combination of treatments worked  well for me, and now I don't have to take the medication and only require counselling sessions occasionally."
zoloft,9,Highly Effective,No Side Effects,"When the antidepressant finally kicked in (after about two weeks), I finally felt ""normal.""  It made me realize how down I was.  I've heard other people say the same thing about feeling ""normal.""  I would still get down but it wouldn't last for days.  I could get through it like a healthy-minded person.  It was such a relief from what I had been feeling.  I told myself that I would take it forever if I had to......anything to not feel what I had been feeling for years:  depressed that I'm not good enough.","In the past few years I've tried to get off of it by reducing my dose.  I cut my pills in half (to 50 mg) and after a few weeks went through a depression that REALLY sucked.  But I got through it.  When I tried to take it down to 25 mg, I got really depressed again and it wouldn't go away.  I went back up to 50mg and am still there.","When I try again to cut back on the dose, I think I'll go to a psychiatrist while doing it.  Regular physicians who refill my prescription don't know me and don't know how to offer advice about doing this.

My treatment details....I take it every day.
Sometimes I've forgotten a day or have run out of a prescription and didn't get it refilled for a few days.  I got a bit light headed.  Definitely not something you can quit cold turkey."
lamictal,7,Moderately Effective,Mild Side Effects,"I've been on meds for depression/anxiety for over 20 years and have tried many medications and combinations. Nothing has ever effectively controlled my depression but Lamictal seems to have stabilized my condition at a tolerable level. I am more mentally ""resilient"".....I don't stay down too long; I'm able to bounce back quickly from a depressive state. I'm also taking Mirtazapine (30mg; 2 a day). Maybe it's the combination that helps. I was recently taking Pristiq and Mirtazapine and was terribly depressed. I quit taking the Pristiq and began Lamictal and had and a very quick improvement.","Lamictal seems to have increased my sex drive. I'm constantly ""horny"" and masturbate alot. The crazy thing is that Lamictal also seems to cause anorgasmia.....difficulty in achieving orgasm. Most of the time I get 99.9% of the way towards feeling like I'm going to climax but don't. So this med has increased my sex drive but doesn't let me fully enjoy the ""benefits"". Anyone have any suggestions in dealing with anorgasmia?",I take one 150MG tablet each morning.
lexapro,9,Highly Effective,Mild Side Effects,"I'm  taking better care of myself and my appearance. I'm interacting with people and don't feel so detached from others. I'm starting to look forward to things again after feeling numb for so long.
Minimal side effects and only lasted a few days. I couldn't tolerate any other anti-D's that I tried because of side effects.","Minimal but after 3 days I felt nauseas, queezy, fatigued and a bit 'out of it' and numb/detached.
The nausea only lasted a week but the fatigue hung around for a while. Now it's lifting thankfully.
No weight changes at all.","I was skeptical that depression even existed so delayed my psych's advice in taking it for a year.
 Got to the point I felt so bad I admitted I had a problem and began a small dose of 1/4 tablet once a day. 
That's all I need for now too. I feel completely different from how I did 3 months ago - I have a personality again! The low days aren't so low and don't paralyze me anymore.
My appetite is normal again after having none for months. The only weight I put on is what I lost and that's because I'm feeling better and have my appetite back. Still underweight but I'm on the way to being healthy again.
I feel more alive and positive. I don't feel so withdrawn, guilty and ashamed for no reason. It's not a miracle pill and you have to do the work to get there but Lexapro is helping me to 'get there'. I'll take it for as long as I need to. Find a good Dr and PLEASE listen to them and take it if you need to. Don't live in misery because of the stigma society sometimes puts on mental health issues. Screw society and put your mental health first!"
paxil,9,Considerably Effective,No Side Effects,it alleviated my severe depression related to an extended period of high stress events in my life.  The depression was debilitating.,none that I noted,once daily oral administration
lamictal,2,Moderately Effective,Severe Side Effects,"While on the drug, I experienced some level of mood stabilization, marked by a greater ability to 'flow with' daily stress.","About six weeks ago, I noticed that my hair -- which has been quite thick throughout my life -- was markedly thinner.  My scalp is patchy in spots and the hair is beginning to thin out in clumps on the top of my head.","I am, under the direction of my doctor, reducing dosage in 25 mg increments and taking several vitamin/mineral combinations, including copper, zinc, biotin, and selenium.  But there is no assurance that my hair loss will ever reverse itself -- in fact, it may continue."
desyrel,7,Considerably Effective,Moderate Side Effects,decrease in depression and suicidal thoughts. Gives more energy to be productive in life. Feel more positive and less inclined to take naps during the day to escape from depression.,"extreme tiredness and for this reason must be taken before bed. Also in higher doses which are more effective, it can cause some temporary memory loss. Can be blurry vision immediately after taking drug.","just an everyday for the rest of my life treatment. It is very hard for me to get off the drug and take a break, I immediately feel terrible and then can't sleep."
wellbutrin-xl,8,Considerably Effective,Mild Side Effects,"I had been on many different treatments for depression throughout most of my adult life and the side effects seamed to outweigh the benefits.  Since starting to take wellbutrin my sex drive returned, my ambition and motivation returned.  On my last medication I was going to sleep at 8 p.m and sleeping until morning then requiring a nap in the afternoon and now I sleep 7-8 hrs a night and have enough energy to get through most of my days.  I had a 5 lb weight loss in the beginning that I have maintained.  Over all I feel I am managing my depression better than I have at any time in the past.","Side effects in the beginning were a bit of anxiety that eventually past but recently I have been having trouble concentrating, my memory has been poor.  Generally I feel like my iq has dropped  I have also been very teary and find myself crying a fair amount over small incidences almost like I was pregnant.  None of this may have anything to do with the medication but I am concerned.",I went up to 450mg once a day but cut back to 300mg a day about 6-8 mnths ago and didn't find I was less able to cope with my depression. I do find that I feel depressed more often but I recognize the signs of the depression and use coping stragies to deal with what is happening.
wellbutrin,7,Moderately Effective,Mild Side Effects,"I experienced less depression, increased libido plus the added benefit of decreased desire for cigarettes.",I have a dry mouth and eyes. Drug has decreased effectiveness in last 5 years.,"Prescribed at 300 mg per day, have taken as much 450 mg per day. I like this drug because it has few side effects."
paxil,10,Highly Effective,Mild Side Effects,"The patient's was able to see positive effects in 2 weeks time.  She noted an improvement in mood, spouse noted a reduction in symptoms relating to prementrual syndrome, and a return of normal sleep patterns.  Overall return of positive mood and enjoyment of previous activities.","Patient was taking the medication in the morning.  At night, a jittery restless feeling was noted which required the patient to get out of bed and move around for about 20 minutes before returning to bed.  The patient switched medication times to the evening before bed and the restlessness did not return.  The patient also noted that the desire to consume sweets or carbohydrates was markedly reduced during treatment.","Treatment was easy to administer, being only once a day, and could be altered easily (am or pm).  There were no cardiovascular side effects, no dizziness, blurred vision, or nausea associated with treatment with 10 mg. paroxetine.  The mild side effects such as reduced craving for carbohydrates and feeling full earlier during a meal were not considered problematic.  The patient's clinical signs of depression, which were insomnia, and reduced enjoyment of former hobbies were reversed within a short period of time (2-3 weeks)."
wellbutrin-xl,10,Considerably Effective,Mild Side Effects,The drug caused the depression to recede to the point that I was able to function normally. The libido lowering effects of a prior antidepressent (SSRI) were alleviated completely. I was able to lose excess weight gained during treatment with the other SSRI,Occasionally I would have trouble falling asleep and staying asleep if I took the drug too late in the day. I began to take it upon wakening daily to counter those effects.,I took one tablet per day 300 mg of the Wellbutrin XL.
symbyax,2,Ineffective,Severe Side Effects,"none, side effects that were intolerable were an increase in appetite and decreased libido","increased appetite
decreased libidp",one pill daily at bedtime
celexa,1,Ineffective,Severe Side Effects,"I really did not see any benefit in taking the medication.  However, this may have been because I was unable to tolerate it for any length of time.","Severe abdominal cramping and diarrhea, dizziness, ""spacy"" feeling, fainting due to the severe diarrhea.","I was placed ont this medication to help with lack of energy, inability to sleep, loss of appetite (depression symptoms).  The side effects were so severe that I was only able to take the medicine for a week."
citalopram,8,Considerably Effective,Mild Side Effects,"I found that this drug immediately released alot of emotion - which was suprising.  I wept for about a week - I had no idea what was going on at first, and then I realized that - I could actually FEEL my emotions.  I felt normal and healthy.  I regret going off of this drug too soon, as I did.  I switched to Wellbutrin, which was not a good idea.",Mild drowsiness.  Emotionalism.,over the counter.
citalopram,10,Highly Effective,Mild Side Effects,"less tired, more optimistic, more energy, no more depression",sweating,"I started taking Citalopram 2 yrs. ago for mild depression.  I started at a 20 mg pill once daily. I notice approx. 1 yr. later I was still SLIGHTLY depressed, so my Dr. prescribed I move up to 30 mg. I felt great.  In the fall, I noticed 'blue'. (S.A.D.  ?) So my Dr. again prescribed that I move up to 40 mg throughout the winter months to see if that helps with seasonal affective disorder, & that I can start to ween myself back down to 30mg shortly before spring. The only side effect I've noticed so far, has been some mild sweating durting the night that started when I started taking the 40mg. Other than that, I have loved the way I feel since I've been taking Citalopram.    So far so good."
paxil,1,Moderately Effective,Mild Side Effects,The drug did help with the temporary depression.,"However, the heart palpatations created a condition which was diagnoised as a mitral valve prolapse.  I was told that the condition was congenital.  I explained that I had never had the symptoms/or condition before and was sure that it would have been diagnosed in the 43+ years prior.  After about 12 years, I still, from time to time experience palpatations or flutters around my heart.  About three years ago, I was examined by a heart specialist.  He reevaluated me and said that I DID NOT HAVE mitral valve prolapse.  GO FIGURE.",Depression treated.  The mitral value prolapse was not treated but noted when any medical or dental treatment was performed.
prozac,10,Highly Effective,Mild Side Effects,"My mood swings decreased, I was less irritable.  When I would be blue, I would not go into a deeper depression.  It just evened me out.  I also had a head injury and it seemed to help in the recovery from that.","In the beginning, I had loss of appetite, and become tired.  But that ended after about two weeks.",I had one on one counseling with a therapist.  I have taken 20 mg everyday for the past 12 years.  I have tried other medications but they have not worked nearly as well for me.
wellbutrin-sr,9,Highly Effective,Mild Side Effects,"After battling w/moderate depression for many years, this drug is a miracle for me! It stopped the ""hampster wheel in my head"" anxiety I had, I feel mush calmer, I can focus on what is important, and I no longer have such emotional hypersensitivity that I used to. It helps me feel like the ""me"" that I had lost for a long time, but i have never had a ""medicated"" feeling from it,as i did with other antidepressants i previously tried.","Dry mouth, thirsty a lot.Sometimes costipation,faint ringing in ears sometimes, comes and goes.",Currently using for moderate depression 150mg 2 times a day.
effexor,7,Moderately Effective,Mild Side Effects,"helped the depression initially, was far more positive during the years I took it, but the efficacy of the drug began to deteriate, and the onset of new side effects led me to try to live without the treatment","initially, not many, some loss of concentration when driving longer than half hour periods, eyes felt very heavy, and it felt like part of my brain had shut down, struggled not to fall to sleep. after some time, about six years, I started to get night sweats, very uncomfortable, and mood swings. I thought it might be hormaonal, but after taking away the drug , the symptoms alleviated.","I now feel that I have suffered fibromyalgia for a long time, and part of the reason I was depressd was I found it hard to deal with the pain i was feeling at the time, I had two very young children , and was not diagnosed with a condition . If I had understood my condition better, I may have managed the fibromyalgia better. I was pushing my body too hard, as I felt frustrated t not managing everything better, and the cycle of depression continued. I have come off the venlafaxine, and the symptoms of pain, particularly in the morning have returned, but I can manage them better, knowing it is not symptomatic of a seriously damaging condition, and that it is 'normal' for me. I pace myself better, and no longer have the demands of very young children , so can do that easier. I like being 'drug' free, although I do supplement with fish oils and 5 HTP"
paxil,2,Ineffective,Severe Side Effects,No treatment benefits,"A million, shaking like crazy, jaw clenching practically breaking my teeth, jaw chattering, felt like I was watching myself, insomnia, blurred vision, confusion, couldn't stop thinking, can't stay still.",For depression take 20mg once a day. Will now come off and try another. Didn't work for me.
cymbalta,7,Considerably Effective,Mild Side Effects,I was in a better mood. Less crying and less over thinking.,"I experienced dry mouth, involving white build up on my tounge. Also it lowered my energy level and I would nap a lot as a result",I take 60 mg of Cymbalta in the evening on a daily basis.
cymbalta,8,Highly Effective,Moderate Side Effects,"Stabilized moods. Made me feel like ""me"".  Allowed me to work much more effectively. Increased focus. Completely stopped crying jags (would get so down I'd cry over very little).",Bad reaction with Alcohol. Allows me to drink more. Dry mouth when first taking. Harder to orgasm but actually increased libido. Side effects are not serious to me. Well worth it for the benefits.,daily dose.  Very consistent use.
prozac,10,Highly Effective,No Side Effects,"I have taken this drug off and on for 20 years. It is so effective for my depression that I start feeling like I'm ""cured"" and don't need to take it any more. I have found that when I stop taking it, I'll be fine for a few days or weeks, and then I start feeling symptoms of depression again. For the last 3 years, I have taken it regularly and am not planning on stopping. It doesn't make me feel happy every day, because that's not its purpose, however it does keep me from entering a depressive state.","I have not felt any side effects. I know other people feel loss of libido, but I did not suffer this pre-menopause. I have lost some libido since menopause, which is what I attribute it to.","I take 20 mg every morning with my vitamins. For 2 years I took 40 mg every other day, however I haven't felt the need to do this anymore."
prozac,10,Highly Effective,Mild Side Effects,"this anti-depressant has basically saved my life.  i have suffered with severe depression and anxiety since childhood.  whether these problems were caused by 'nature or nurture' can be difficult to ascertain, but in my particular case, i believe it was both.  while i was a victim of severe sexual, physical and verbal abuse from a very young age through my teen years, i also seem to have been born with an unusually 'sensitive' disposition, and can get very emotionally and mentally disturbed at times with very little provocation.  everyone who knows me well considers me a very emotional person.  at any rate, it has been the prozac that has helped me in dealing with the stresses of even everyday life.  i first started feeling suicidal in adolescence, and unfortunately, this is still a constant problem.  the prozac, i am convinced, has helped me keep these feelings in check, and although i was just hospitalized for my depression late last year, i am still alive and kicking.  i completely believe that it is the prozac that has saved my life.  before the advent of these types of antidepressants, all that was available were the tricyclics.  those never worked for me the way the ssri's have.  although they did achieve in putting me into a stupor-like condition, they never seemed to alleviate my depression.  the prozac does.  while it doesn't rid me of the problem completely, it has been absolutely invaluable to me, and i believe it is the main reason i am alive to write these words to you today.  i am fortunate in that i have never had a single side effect from the prozac.  actually, there has been a complete loss of libido, which could be a major problem for alot of people;  for me, however, this is not a problem, because i am celibate, and have been for 20 years.  trust me, i had enough sex in my younger years to last me for the rest of my life.  i feel i should mention that i have known many people who take prozac and who have not had any sexual problems at all.","initial dosage was 20 mgs. each morning.  this dosage was sufficient for about 5 years, at which point it was raised to 40 mgs. each day.  ultimately, the dosage was raised again approximately 2-3 years after the first increase to my current dosage of 60 mgs. each day.  this is apparently the maximum dosage.  only side effect was loss of libido.","basically you need to see a psychiatrist as often as your condition requires.  i also recommend concurrent visits with some type of therapist or counselor, as this will increase the benefits you receive by taking the medication."
